,Bird,UUID,Age,Type,Sex,Recording,Channel,Cluster,Location,Hemisphere,Lateral,Depth,SocialGroup
0,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,11,28,CMFL,L,1474.0,-1955.0,180B
1,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,24,3,CMFL,L,1474.0,-1955.0,180B
2,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,26,21,CMFL,L,1474.0,-1955.0,180B
3,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,2,38,CMFL,L,1474.0,-1955.0,180B
4,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,8,37,CMFL,L,1474.0,-1955.0,180B
5,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,27,13,FL,L,1474.0,-2755.0,180B
6,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,2,33,FL,L,1474.0,-2755.0,180B
7,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,31,6,FL,L,1474.0,-2755.0,180B
8,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,7,25,FL,L,1474.0,-2755.0,180B
9,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r1,17,1,CM,L,1267.0,-1869.0,180B
10,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r1,19,6,CM,L,1267.0,-1869.0,180B
11,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r1,22,17,CM,L,1267.0,-1869.0,180B
12,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r2,25,9,FL,L,1267.0,-2669.0,180B
13,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r2,9,39,FL,L,1267.0,-2669.0,180B
14,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r2,9,40,FL,L,1267.0,-2669.0,180B
15,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,20,24,NCM,L,1267.0,-3410.0,180B
16,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,22,17,NCM,L,1267.0,-3410.0,180B
17,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,24,3,NCM,L,1267.0,-3410.0,180B
18,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,26,27,NCM,L,1267.0,-3410.0,180B
19,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,28,20,NCM,L,1267.0,-3410.0,180B
20,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,29,11,NCM,L,1267.0,-3410.0,180B
21,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,2,44,NCM,L,1267.0,-3410.0,180B
22,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,30,22,NCM,L,1267.0,-3410.0,180B
23,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r1,19,4,CM,R,1371.0,-1889.0,180B
24,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r2,10,46,NCM,R,-1371.0,-3251.0,180B
25,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r2,14,36,NCM,R,-1371.0,-3251.0,180B
26,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r2,6,41,NCM,R,-1371.0,-3251.0,180B
27,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r2,6,42,NCM,R,-1371.0,-3251.0,180B
28,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r2,6,44,NCM,R,-1371.0,-3251.0,180B
29,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p3r2,8,50,NCM,R,-1371.0,-3251.0,180B
30,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r1,19,5,CM,L,1292.0,-1778.0,178B
31,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r1,24,3,CM,L,1292.0,-1778.0,178B
32,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r1,6,34,CM,L,1292.0,-1778.0,178B
33,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r1,8,38,CM,L,1292.0,-1778.0,178B
34,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r2,11,28,FL,L,1292.0,-2678.0,178B
35,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r2,19,3,FL,L,1292.0,-2678.0,178B
36,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r2,4,24,FL,L,1292.0,-2678.0,178B
37,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r2,5,40,FL,L,1292.0,-2678.0,178B
38,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r2,6,31,FL,L,1292.0,-2678.0,178B
39,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r3,1,49,NCM,L,1292.0,-3878.0,178B
40,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r3,21,15,NCM,L,1292.0,-3878.0,178B
41,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r3,2,40,NCM,L,1292.0,-3878.0,178B
42,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p1r3,5,41,NCM,L,1292.0,-3878.0,178B
43,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r1,15,46,CM,R,-809.0,-1882.0,178B
44,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r1,9,41,CM,R,-809.0,-1882.0,178B
45,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r2,16,31,FL,R,-809.0,-2782.0,178B
46,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r2,24,3,FL,R,-809.0,-2782.0,178B
47,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r2,3,38,FL,R,-809.0,-2782.0,178B
48,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r2,6,40,FL,R,-809.0,-2782.0,178B
49,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r3,22,15,NCM,R,-809.0,-3982.0,178B
50,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r3,4,33,NCM,R,-809.0,-3982.0,178B
51,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r3,4,34,NCM,R,-809.0,-3982.0,178B
52,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r3,5,45,NCM,R,-809.0,-3982.0,178B
53,O129,e39e1763-421d-418b-913f-17166251589c,1126,CR,M,p2r3,5,46,NCM,R,-809.0,-3982.0,178B
54,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r2,10,29,FL,L,1321.0,-2455.0,178B
55,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r2,11,24,FL,L,1321.0,-2455.0,178B
56,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r2,13,37,FL,L,1321.0,-2455.0,178B
57,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r2,15,42,FL,L,1321.0,-2455.0,178B
58,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r2,20,17,FL,L,1321.0,-2455.0,178B
59,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,11,38,FL,L,1321.0,-3455.0,178B
60,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,13,52,FL,L,1321.0,-3455.0,178B
61,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,20,26,FL,L,1321.0,-3455.0,178B
62,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,26,29,FL,L,1321.0,-3455.0,178B
63,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,28,23,FL,L,1321.0,-3455.0,178B
64,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,29,14,FL,L,1321.0,-3455.0,178B
65,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,30,25,FL,L,1321.0,-3455.0,178B
66,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,31,9,FL,L,1321.0,-3455.0,178B
67,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p1r3,7,40,FL,L,1321.0,-3455.0,178B
68,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p2r1,10,34,NCM,L,1321.0,-3504.0,178B
69,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p2r1,18,23,NCM,L,1321.0,-3504.0,178B
70,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p2r1,23,12,NCM,L,1321.0,-3504.0,178B
71,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p2r1,32,6,NCM,L,1321.0,-3504.0,178B
72,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r1,10,34,CM,R,-1264.0,-1884.0,178B
73,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r1,19,5,CM,R,-1264.0,-1884.0,178B
74,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r1,23,12,CM,R,-1264.0,-1884.0,178B
75,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r1,27,15,CM,R,-1264.0,-1884.0,178B
76,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r1,9,41,CM,R,-1264.0,-1884.0,178B
77,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r2,24,3,FL,R,-1264.0,-2875.0,178B
78,O153,ece6d703-d905-4fa4-8765-65966aacedbe,626,CR,F,p3r2,26,20,FL,R,-1264.0,-2875.0,178B
79,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,10,39,CM,L,1174.0,-1992.0,178B
80,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,15,49,CM,L,1174.0,-1992.0,178B
81,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,18,30,CM,L,1174.0,-1992.0,178B
82,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,19,4,CM,L,1174.0,-1992.0,178B
83,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,1,47,CM,L,1174.0,-1992.0,178B
84,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,23,13,CM,L,1174.0,-1992.0,178B
85,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r1,26,28,CM,L,1174.0,-1992.0,178B
86,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r2,14,27,FL,L,1174.0,-3092.0,178B
87,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r2,21,14,FL,L,1174.0,-3092.0,178B
88,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r2,32,6,FL,L,1174.0,-3092.0,178B
89,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r2,8,35,FL,L,1174.0,-3092.0,178B
90,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,12,33,FL,L,1174.0,-3766.0,178B
91,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,15,45,FL,L,1174.0,-3766.0,178B
92,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,26,20,FL,L,1174.0,-3766.0,178B
93,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,27,14,FL,L,1174.0,-3766.0,178B
94,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,28,17,FL,L,1174.0,-3766.0,178B
95,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,29,7,FL,L,1174.0,-3766.0,178B
96,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p1r3,5,37,FL,L,1174.0,-3766.0,178B
97,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,17,3,NCM,L,1353.0,-3859.0,178B
98,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,20,30,NCM,L,1353.0,-3859.0,178B
99,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,22,22,NCM,L,1353.0,-3859.0,178B
100,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,24,5,NCM,L,1353.0,-3859.0,178B
101,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,25,16,NCM,L,1353.0,-3859.0,178B
102,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,27,23,NCM,L,1353.0,-3859.0,178B
103,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,29,13,NCM,L,1353.0,-3859.0,178B
104,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,30,28,NCM,L,1353.0,-3859.0,178B
105,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,31,11,NCM,L,1353.0,-3859.0,178B
106,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,32,7,NCM,L,1353.0,-3859.0,178B
107,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,32,9,NCM,L,1353.0,-3859.0,178B
108,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p2r1,5,51,NCM,L,1353.0,-3859.0,178B
109,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p3r1,16,28,CM,R,-989.0,-1914.0,178B
110,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p3r1,17,2,CM,R,-989.0,-1914.0,178B
111,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p3r1,18,27,CM,R,-989.0,-1914.0,178B
112,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p3r1,24,4,CM,R,-989.0,-1914.0,178B
113,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p3r1,24,5,CM,R,-989.0,-1914.0,178B
114,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p3r1,2,47,CM,R,-989.0,-1914.0,178B
115,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p4r1,10,41,NCM,R,-1005.0,-3877.0,178B
116,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p4r1,14,33,NCM,R,-1005.0,-3877.0,178B
117,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p4r1,5,48,NCM,R,-1005.0,-3877.0,178B
118,O184,4a0c1cdd-178d-4dc4-8c87-f4204a879bfa,261,CR,F,p4r1,6,38,NCM,R,-1005.0,-3877.0,178B
119,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r1,17,2,CM,R,-965.0,-1845.0,178B
120,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r1,27,14,CM,R,-965.0,-1845.0,178B
121,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r2,15,44,FL,R,-965.0,-2673.0,178B
122,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r2,29,8,FL,R,-965.0,-2673.0,178B
123,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r2,30,17,FL,R,-965.0,-2673.0,178B
124,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r2,3,30,FL,R,-965.0,-2673.0,178B
125,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r3,13,46,NCM,R,-965.0,-3910.0,178B
126,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r3,21,17,NCM,R,-965.0,-3910.0,178B
127,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r3,27,21,NCM,R,-965.0,-3910.0,178B
128,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r3,28,23,NCM,R,-965.0,-3910.0,178B
129,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p1r3,29,12,NCM,R,-965.0,-3910.0,178B
130,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r1,10,41,CM,L,1183.0,-2137.0,178B
131,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r1,15,54,CM,L,1183.0,-2137.0,178B
132,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r1,17,2,CM,L,1183.0,-2137.0,178B
133,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r1,7,36,CM,L,1183.0,-2137.0,178B
134,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r2,11,27,NCM,L,1183.0,-3837.0,178B
135,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r2,14,24,NCM,L,1183.0,-3837.0,178B
136,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r2,16,22,NCM,L,1183.0,-3837.0,178B
137,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r2,21,11,NCM,L,1183.0,-3837.0,178B
138,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r2,22,13,NCM,L,1183.0,-3837.0,178B
139,P15,0190022b-8ebe-41c5-a6d5-ebcbf64feb04,NA,CR,F,p2r2,26,19,NCM,L,1183.0,-3837.0,178B
